verifRuleCode,verifRuleName,verifRuleSeverity,modelGUID,modelBusName,modelTechName,containerGUID,containerBusName,containerTechName,entityGUID,entityBusName,entityTechName,relationshipGUID,relationshipName,attribGUID,attribBusName,attribTechName,attribDataType,attribLength,attribPrecision,attribScale,attribRequired,attribDefault,glossTermBusName,glossTermTechName,glossSynonyms,rulesRequired,rulesDefault,rulesDataType,rulesLength,rulesPrecision,rulesScale
synonyms,Using synonyms,error,1f23fbb4-443d-4cef-8f97-cc831495ea98,NorthwindOracle,,085c2ff0-7ff0-11eb-b777-bbe0d63270e1,Northwind,,05f9e4c3-899e-11e6-a8d7-35e2bcca9f8c,customers,,,,b83712ee-885b-431e-a2a7-cab9e4fc7c2a,Email,email,numeric,,,,,,Email,email,e-mail | Email | E-mail,true,,string,100,0,0
attributeRequired,Missing required property,warning,1f23fbb4-443d-4cef-8f97-cc831495ea98,NorthwindOracle,,085c2ff0-7ff0-11eb-b777-bbe0d63270e1,Northwind,,05f9e4c3-899e-11e6-a8d7-35e2bcca9f8c,customers,,,,b83712ee-885b-431e-a2a7-cab9e4fc7c2a,Email,email,numeric,,,,,,Email,email,e-mail | Email | E-mail,true,,string,100,0,0
attributeType,Invalid data type,error,1f23fbb4-443d-4cef-8f97-cc831495ea98,NorthwindOracle,,085c2ff0-7ff0-11eb-b777-bbe0d63270e1,Northwind,,05f9e4c3-899e-11e6-a8d7-35e2bcca9f8c,customers,,,,b83712ee-885b-431e-a2a7-cab9e4fc7c2a,Email,email,numeric,,,,,,Email,email,e-mail | Email | E-mail,true,,string,100,0,0
attributeLength,Invalid length,warning,1f23fbb4-443d-4cef-8f97-cc831495ea98,NorthwindOracle,,085c2ff0-7ff0-11eb-b777-bbe0d63270e1,Northwind,,05f9e4c3-899e-11e6-a8d7-35e2bcca9f8c,customers,,,,b83712ee-885b-431e-a2a7-cab9e4fc7c2a,Email,email,numeric,,,,,,Email,email,e-mail | Email | E-mail,true,,string,100,0,0
synonyms,Using synonyms,error,1f23fbb4-443d-4cef-8f97-cc831495ea98,NorthwindOracle,,085c2ff0-7ff0-11eb-b777-bbe0d63270e1,Northwind,,05fa0bd2-899e-11e6-a8d7-35e2bcca9f8c,employees,,,,7551672f-ff6e-4bea-8614-b9bc3c848784,Email,email,string,,,,true,,Email,email,e-mail | Email | E-mail,true,,string,100,0,0
attributeLength,Invalid length,warning,1f23fbb4-443d-4cef-8f97-cc831495ea98,NorthwindOracle,,085c2ff0-7ff0-11eb-b777-bbe0d63270e1,Northwind,,05fa0bd2-899e-11e6-a8d7-35e2bcca9f8c,employees,,,,7551672f-ff6e-4bea-8614-b9bc3c848784,Email,email,string,,,,true,,Email,email,e-mail | Email | E-mail,true,,string,100,0,0
