verifRuleCode     ,verifRuleName             ,verifRuleSeverity ,modelGUID                            ,modelBusName    ,modelTechName ,containerGUID                        ,containerBusName ,containerTechName ,entityGUID                           ,entityBusName ,entityTechName ,relationshipGUID ,relationshipName ,attribGUID                           ,attribBusName ,attribTechName ,attribDataType ,attribLength ,attribPrecision ,attribScale ,attribRequired ,attribDefault ,glossTermBusName ,glossTermTechName ,glossSynonyms           ,rulesRequired ,rulesDefault ,rulesDataType ,rulesLength ,rulesPrecision ,rulesScale
attributeRequired ,Missing required property ,warning           ,1f23fbb4-443d-4cef-8f97-cc831495ea98 ,NorthwindOracle ,              ,085c2ff0-7ff0-11eb-b777-bbe0d63270e1 ,Northwind        ,                  ,05f9e4c3-899e-11e6-a8d7-35e2bcca9f8c ,customers     ,               ,                 ,                 ,554cc0b8-a934-46e8-9cd6-9abd066594ff ,Email         ,email          ,numeric        ,             ,                ,            ,               ,              ,"Email         " ,"email          " ,e-mail | Email | E-mail ,true          ,             ,string        ,        100 ,             0 ,         0
attributeType     ,Invalid data type         ,error             ,1f23fbb4-443d-4cef-8f97-cc831495ea98 ,NorthwindOracle ,              ,085c2ff0-7ff0-11eb-b777-bbe0d63270e1 ,Northwind        ,                  ,05f9e4c3-899e-11e6-a8d7-35e2bcca9f8c ,customers     ,               ,                 ,                 ,554cc0b8-a934-46e8-9cd6-9abd066594ff ,Email         ,email          ,numeric        ,             ,                ,            ,               ,              ,"Email         " ,"email          " ,e-mail | Email | E-mail ,true          ,             ,string        ,        100 ,             0 ,         0
attributeLength   ,Invalid length            ,warning           ,1f23fbb4-443d-4cef-8f97-cc831495ea98 ,NorthwindOracle ,              ,085c2ff0-7ff0-11eb-b777-bbe0d63270e1 ,Northwind        ,                  ,05f9e4c3-899e-11e6-a8d7-35e2bcca9f8c ,customers     ,               ,                 ,                 ,554cc0b8-a934-46e8-9cd6-9abd066594ff ,Email         ,email          ,numeric        ,             ,                ,            ,               ,              ,"Email         " ,"email          " ,e-mail | Email | E-mail ,true          ,             ,string        ,        100 ,             0 ,         0
attributeRequired ,Missing required property ,warning           ,1f23fbb4-443d-4cef-8f97-cc831495ea98 ,NorthwindOracle ,              ,085c2ff0-7ff0-11eb-b777-bbe0d63270e1 ,Northwind        ,                  ,05fa0bd2-899e-11e6-a8d7-35e2bcca9f8c ,employees     ,               ,                 ,                 ,e2d11dfb-66b5-424a-b1d2-6782f893afa5 ,Email         ,email          ,string         ,         100 ,                ,            ,               ,              ,"Email         " ,"email          " ,e-mail | Email | E-mail ,true          ,             ,string        ,        100 ,             0 ,         0
